f(Hz),Vout(V),Hr=Vmax/Vin
10,3.2,1
20,3.2,1
50,3.2,1
100,3.2,1
200,3.2,1
500,3.12,0.975
1000,2.64,0.825
3000,1.36,0.425
10000,0.448,0.14
30000,0.144,0.045
100000,0.031,0.0096875
300000,0.013,0.0040625
1000000,0.013,0.0040625
1500,2.26,0.70625
