RL,f0,f1,f2,Qexp,Qpred
330,10.7,8.3,12.9,4.652173913,2.011775678
1000,10.26,9.5,11.2,12.07058824,6.096289934
3300,10.28,10.03,10.63,34.26666667,20.11775678
10000,10.31,10.17,10.47,68.73333333,60.96289934
33000,10.31,10.23,10.4,121.2941176,201.1775678
100000,10.31,10.24,10.4,128.875,609.6289934
,,,,,
Rideal,Rmeasured,,,,
330,335,,,,
1k,975,,,,
3.3k,3.36k,,,,
10k,10.36k,,,,
33k,33.96k,,,,
100k,100.3k,,,,
