R,V,Iout,Zin
0,0.98,infinity,0
820000,0.9,0.001097561,7380000
1000000,0.9,0.0009,9000000
2200000,0.8,0.000363636,8800000
4700000,0.66,0.000140426,9123529.412
10000000,0.496,0.0000496,9841269.841
20000000,0.296,0.0000148,8409090.909
